ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0170;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;22.18;2647.31;1112.01;3759.32;11215.04;33.52;603.58;8;1709.63;19;672.09;270.94;239
CAM0171;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;16.48;3829.34;862.87;4692.21;13365.46;35.11;267.06;11;3236.5;33;871.94;273.44;311
CAM0172;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;24.75;2453.38;911.59;3364.97;9353.09;35.98;90.27;4;6459.04;26;719.52;145.91;102
CAM0173;DISTRIBUCION;OP0014;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;32.58;14928.05;6998.71;21926.76;70981.82;30.89;2594.37;26;3122.12;26;1653.8;445.31;307
CAM0174;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;17.31;3085.16;415.8;3500.96;10758.81;32.54;2140.42;12;7065.98;28;596.25;137.17;233
CAM0175;DISTRIBUCION;OP0011;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;42.85;8284.09;5499.39;13783.48;60467.48;22.79;1223.92;2;759.54;8;772.69;93.03;193
CAM0176;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;19.24;3626.93;819.47;4446.4;12198.05;36.45;939.99;12;2190.24;29;643.06;182.18;234
CAM0177;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2013;9;16.24;3021.41;812.5;3833.91;12241.43;31.32;3714.94;10;2337.58;18;519.53;104.32;192
CAM0178;DISTRIBUCION;OP0007;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2013;9;13.7;1529.41;3339.4;4868.81;16263.6;29.94;0;0;4755.32;50;1120.85;626.45;281
CAM0179;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;16.68;4145.83;525.85;4671.68;13865.14;33.69;707.06;20;4642.82;4;1065.08;474.51;281
